time,x,y,H
0,1200,1000,11.0944
0.001,1178.4,1011,11.0947
0.002,1156.93,1021.9,11.095
0.003,1135.6,1032.7,11.0953
0.004,1114.41,1043.4,11.0955
0.005,1093.39,1053.98,11.0958
0.006,1072.53,1064.45,11.0961
0.007,1051.84,1074.8,11.0964
0.008,1031.33,1085.04,11.0967
0.009,1011.01,1095.14,11.097
0.01,990.892,1105.12,11.0972
0.011,970.972,1114.96,11.0975
0.012,951.262,1124.67,11.0978
0.013,931.768,1134.25,11.0981
0.014,912.494,1143.68,11.0984
0.015,893.447,1152.97,11.0987
0.016,874.632,1162.12,11.099
0.017,856.052,1171.12,11.0992
0.018,837.713,1179.98,11.0995
0.019,819.619,1188.68,11.0998
0.02,801.773,1197.24,11.1001
0.021,784.178,1205.64,11.1004
0.022,766.838,1213.89,11.1007
0.023,749.755,1221.98,11.101
0.024,732.93,1229.92,11.1013
0.025,716.367,1237.71,11.1016
0.026,700.067,1245.34,11.1019
0.027,684.031,1252.81,11.1022
0.028,668.259,1260.13,11.1025
0.029,652.754,1267.29,11.1028
0.03,637.515,1274.29,11.1031
0.031,622.543,1281.14,11.1034
0.032,607.836,1287.84,11.1037
0.033,593.396,1294.38,11.104
0.034,579.221,1300.76,11.1044
0.035,565.311,1307,11.1047
0.036,551.665,1313.08,11.105
0.037,538.28,1319.01,11.1053
0.038,525.157,1324.79,11.1056
0.039,512.293,1330.42,11.106
0.04,499.686,1335.91,11.1063
0.041,487.335,1341.25,11.1066
0.042,475.237,1346.44,11.1069
0.043,463.39,1351.49,11.1073
0.044,451.791,1356.4,11.1076
0.045,440.439,1361.18,11.1079
0.046,429.329,1365.81,11.1083
0.047,418.46,1370.31,11.1086
0.048,407.829,1374.67,11.1089
0.049,397.432,1378.9,11.1093
0.05,387.266,1383.01,11.1096
0.051,377.329,1386.98,11.11
0.052,367.617,1390.82,11.1103
0.053,358.126,1394.55,11.1107
0.054,348.854,1398.15,11.111
0.055,339.797,1401.63,11.1114
0.056,330.951,1404.99,11.1117
0.057,322.313,1408.23,11.1121
0.058,313.88,1411.36,11.1124
0.059,305.648,1414.38,11.1128
0.06,297.613,1417.29,11.1131
0.061,289.772,1420.09,11.1135
0.062,282.122,1422.79,11.1138
0.063,274.658,1425.38,11.1142
0.064,267.377,1427.87,11.1146
0.065,260.276,1430.26,11.1149
0.066,253.352,1432.55,11.1153
0.067,246.6,1434.75,11.1156
0.068,240.017,1436.85,11.116
0.069,233.599,1438.86,11.1164
0.07,227.344,1440.78,11.1167
0.071,221.248,1442.62,11.1171
0.072,215.307,1444.37,11.1175
0.073,209.518,1446.03,11.1179
0.074,203.878,1447.62,11.1182
0.075,198.383,1449.12,11.1186
0.076,193.03,1450.55,11.119
0.077,187.816,1451.89,11.1193
0.078,182.738,1453.17,11.1197
0.079,177.792,1454.37,11.1201
0.08,172.976,1455.5,11.1205
0.081,168.287,1456.57,11.1208
0.082,163.721,1457.56,11.1212
0.083,159.276,1458.49,11.1216
0.084,154.948,1459.35,11.122
0.085,150.736,1460.16,11.1223
0.086,146.635,1460.9,11.1227
0.087,142.644,1461.58,11.1231
0.088,138.76,1462.2,11.1235
0.089,134.979,1462.77,11.1238
0.09,131.3,1463.28,11.1242
0.091,127.72,1463.74,11.1246
0.092,124.237,1464.14,11.125
0.093,120.847,1464.5,11.1254
0.094,117.549,1464.8,11.1257
0.095,114.341,1465.06,11.1261
0.096,111.219,1465.27,11.1265
0.097,108.182,1465.43,11.1269
0.098,105.228,1465.55,11.1273
0.099,102.354,1465.63,11.1276
0.1,99.5585,1465.67,11.128
0.101,96.8392,1465.66,11.1284
0.102,94.1942,1465.61,11.1288
0.103,91.6216,1465.53,11.1292
0.104,89.1193,1465.4,11.1295
0.105,86.6857,1465.25,11.1299
0.106,84.3187,1465.05,11.1303
0.107,82.0167,1464.82,11.1307
0.108,79.778,1464.56,11.1311
0.109,77.6007,1464.26,11.1314
0.11,75.4834,1463.93,11.1318
0.111,73.4243,1463.57,11.1322
0.112,71.4219,1463.19,11.1326
0.113,69.4747,1462.77,11.133
0.114,67.5811,1462.32,11.1333
0.115,65.7398,1461.85,11.1337
0.116,63.9492,1461.35,11.1341
0.117,62.2081,1460.82,11.1345
0.118,60.515,1460.27,11.1348
0.119,58.8687,1459.69,11.1352
0.12,57.2678,1459.09,11.1356
0.121,55.7112,1458.47,11.136
0.122,54.1975,1457.82,11.1364
0.123,52.7257,1457.15,11.1367
0.124,51.2946,1456.46,11.1371
0.125,49.903,1455.75,11.1375
0.126,48.5499,1455.03,11.1379
0.127,47.2342,1454.28,11.1382
0.128,45.9548,1453.51,11.1386
0.129,44.7108,1452.72,11.139
0.13,43.5012,1451.92,11.1393
0.131,42.325,1451.1,11.1397
0.132,41.1813,1450.26,11.1401
0.133,40.0692,1449.41,11.1405
0.134,38.9878,1448.54,11.1408
0.135,37.9362,1447.66,11.1412
0.136,36.9137,1446.76,11.1416
0.137,35.9194,1445.85,11.1419
0.138,34.9526,1444.92,11.1423
0.139,34.0124,1443.98,11.1427
0.14,33.0982,1443.03,11.1431
0.141,32.2092,1442.06,11.1434
0.142,31.3446,1441.08,11.1438
0.143,30.5039,1440.09,11.1442
0.144,29.6863,1439.09,11.1445
0.145,28.8913,1438.08,11.1449
0.146,28.1181,1437.06,11.1452
0.147,27.3662,1436.03,11.1456
0.148,26.635,1434.98,11.146
0.149,25.9238,1433.93,11.1463
0.15,25.2322,1432.87,11.1467
0.151,24.5596,1431.8,11.1471
0.152,23.9054,1430.72,11.1474
0.153,23.2692,1429.63,11.1478
0.154,22.6504,1428.53,11.1482
0.155,22.0486,1427.43,11.1485
0.156,21.4632,1426.31,11.1489
0.157,20.8939,1425.19,11.1492
0.158,20.3401,1424.07,11.1496
0.159,19.8015,1422.93,11.1499
0.16,19.2775,1421.79,11.1503
0.161,18.7679,1420.64,11.1507
0.162,18.2722,1419.49,11.151
0.163,17.79,1418.33,11.1514
0.164,17.321,1417.16,11.1517
0.165,16.8647,1415.99,11.1521
0.166,16.4208,1414.81,11.1524
0.167,15.989,1413.63,11.1528
0.168,15.5689,1412.44,11.1531
0.169,15.1602,1411.25,11.1535
0.17,14.7627,1410.05,11.1538
0.171,14.3759,1408.85,11.1542
0.172,13.9996,1407.65,11.1545
0.173,13.6334,1406.44,11.1549
0.174,13.2772,1405.22,11.1552
0.175,12.9306,1404,11.1556
0.176,12.5934,1402.78,11.1559
0.177,12.2652,1401.55,11.1563
